KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K04752,1,0,0,0,2,0,0,
K09806,0,0,0,0,0,0,0,
K07391,0,0,0,0,0,0,0,
K00375,0,0,0,0,0,0,0,
K19784,0,0,0,0,0,0,0,
K01714,0,0,0,0,0,0,0,
K01507,0,0,0,0,0,0,0,
K01897,0,0,0,0,1,0,0,
K02621,2,0,0,0,4,2,0,
K08369,0,0,2,0,0,0,0,
K09858,0,0,0,0,0,0,0,
K22522,0,0,0,0,0,0,0,
K18326,1,0,0,0,0,0,0,
K07273,0,0,2,0,0,0,0,
K02346,0,0,0,0,0,0,0,
K09022,0,0,0,0,0,0,0,
K03809,0,0,0,0,0,0,0,
K01738,0,0,0,0,0,0,0,
K01955,0,0,0,0,0,0,0,
K01956,0,0,0,0,2,0,0,
K07574,0,0,0,0,0,0,0,
K02427,4,5,4,0,2,0,0,
K01243,0,0,0,0,0,0,0,
K11753,0,0,0,0,0,0,0,
K01870,0,2,2,0,0,0,0,
K03101,0,2,0,0,1,1,0,
K03774,0,0,0,0,0,0,0,
K03073,0,5,4,0,0,0,0,
K02601,0,1,1,0,2,0,0,
K02867,0,5,2,0,0,1,0,
K02863,0,8,2,0,2,1,0,
K02864,0,3,0,2,6,2,1,
K02935,2,1,0,2,2,1,2,
K03043,4,11,14,0,4,0,0,
K01840,0,0,0,0,0,0,0,
K01784,0,0,0,0,0,0,0,
K01810,0,1,0,0,0,0,0,
K00963,0,0,1,0,4,0,0,
K00027,0,2,0,0,2,0,0,
K00974,0,0,0,0,0,0,0,
K04691,0,0,0,0,0,0,0,
K04564,2,0,0,0,2,0,0,
K00325,0,0,0,0,0,0,0,
K00324,2,0,0,0,1,0,0,
K05539,0,0,0,0,0,0,0,
K03782,0,2,0,0,2,0,0,
K13985,0,0,0,0,0,0,0,
K05817,0,0,4,0,0,0,0,
K01972,0,4,9,0,0,0,0,
K03594,0,0,0,0,0,0,0,
K03528,0,0,0,0,0,0,0,
K02014,0,0,0,0,3,0,0,
K01462,0,0,0,0,2,0,2,
K01825,2,0,0,0,5,0,0,
K12979,0,0,0,0,0,0,0,
K10763,0,0,0,0,0,0,0,
K01933,0,8,0,0,0,0,0,
K11175,0,0,0,0,0,0,0,
K04773,0,0,0,0,0,0,0,
K02238,4,0,0,0,2,0,0,
K02517,0,0,0,0,0,0,0,
K09810,0,0,0,0,0,0,0,
K09808,0,0,0,0,1,0,0,
K09768,0,0,0,0,0,0,0,
K00831,0,0,0,0,0,0,0,
K01993,0,1,4,0,2,0,0,
K20534,0,0,0,0,0,0,0,
K02469,0,0,0,0,0,0,0,
K03522,2,6,0,0,0,0,0,
K03521,2,6,8,0,4,2,0,
K03733,0,0,0,0,0,0,0,
K05834,0,0,0,0,0,0,0,
K01778,1,0,0,0,0,0,0,
K01586,0,0,2,0,0,0,0,
K11737,0,0,2,0,0,0,0,
K03310,4,0,0,0,4,0,0,
K04485,1,0,0,0,0,0,0,
K04568,0,0,0,0,0,0,0,
