Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
3c9dc5fd339fb48fe35916e73d003642,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.9985516048
278d30ac9d8bd8c7140f0682b563c6b0,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.9597624894
f8925fd0512496e6d160ab013ae54686,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.9598290486
cb691a404692a546cd846a08c3f8abc9,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Modestobacter,,0.9608024907
9c62c62c614890be66476eab5089ba89,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,0.806650237
fee6e88d1a508dc6d209632bdd03b054,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,,0.9999780759
e3a75d6deaaef65a36f5a4994f7c6544,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,,0.9998481457
0f1a325c80378b5bc7d71a275d712776,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,,0.9730211321
bbcfc79e13184b2b7189a61887530807,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,,0.999951632
387298b1cfd613b9b4353439b225e7fa,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9716140548
a51647114d77c1ead8ed365e02ac1704,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9419347538
a3a9cc4b929f178ec91a3e13c2521d0b,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,,0.9997261459
6a8ec467dd627b9fc79c8ceafd900a89,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,,0.9150225234
ff68909ac92f30bcb45c5fc53f70f37d,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured,,0.9751145601
1a9f75a99fc92d54a388b46cacc99217,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus,,0.988211608
2895867bf40df90c25b3824c9c2845dd,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,,0.9999597722
b107609f5448bf1a506230d4b86ab544,Bacteria,,,,,,,0.9999820093
41f901910677b4797248ca51913e8df0,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Crenothrix,,0.9187254102
d175339e255dfa5a8a7b0ab6d12d95eb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,,0.9888358115
3b4f00baf8994119fce5813d2e73ddf2,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,0.9999355541
bbd854e6d855eae35c0cc5f61932d233,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.9999225533
04239909f3057940cc8d83f8508d4cf5,Bacteria,Fibrobacterota,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,possible,03;s,0.9805439883
0713bb10ea6f6201596a17e6262aae2a,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,,,0.8860275472
86e393d32684c475fe1624eec090e7a9,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,,0.8824377395
586f662de3116d343e13248cba5121e5,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,0.9996384763
7e5e248ea133993a8fe2dd8a057c2bc8,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,0.9995946223
24ae71fe90d53bd2bbacceb3a2e251ed,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,0.9682450945
f722e891e45d3cec0500a3a263829013,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9579484115
a0bf3952d754c13f443b195e53501893,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.8145475112
1f4c7200326dda1350e8dd0144de3597,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9953299884
a6b58464409fc8ee60e3869d135451b9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9953304767
8f7d486996c78b394daf43e326a6631c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,stricto,0.9962256465
76cd3bc5d0a73443d0f8cf820235eb39,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,,0.960942463
4c99cecf7cacc86957a53b03f9e34b97,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.9886000544
1893432019847b6afe2ee23ab0298dc5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,0.9502000736
b515162ecbefa81a73994b166f578cb9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,0.9826911184
a33b2a64514605918e67940f3bae09d1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,0.9979438241
38627693ad22b0d19900afc63e6e05e1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,,0.9990093502
9676fc7baa9c960c12a0c550ed135cfe,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,0.9999755031
fd1d20589991f3fa2bbedc8bcc226ca7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,0.929351898
33001c4d7f9872313fad77a05bc63389,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,,0.9999997729
bba6ed2d622d7072550a1a293a9a9f71,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,,0.9827948386
284e8dce1c4d60a541dc6742e36de3a3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,,0.9996942959
8a5d3d7d4a2a8651da86e34f415a12ee,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9994965673
2bb787ddc2682d4623cbd639bbea02cd,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,,0.9999678414
8d0c3f5417642b99c13ad0d69d7a33f5,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus,,0.9996684171
2ee35ac7f733ddaeb6bd02db9e8a2e14,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus,,0.9917461215
